month,ts,record_type,KWH,meter_id
1,20220128170000,MEPMD01,0.3114,2141779855
1,20220114164500,MEPMD01,0.573,2141779855
1,20220114231500,MEPMD01,0.5586,2141779855
1,20220120163000,MEPMD01,0.3306,2141779855
1,20220108161500,MEPMD01,0.4266,2141779855
1,20220121123000,MEPMD01,0.5388,2141779855
1,20220115001500,MEPMD01,0.4638,2141779855
1,20220124124500,MEPMD01,0.5148,2141779855
1,20220102093000,MEPMD01,0.4182,2141779855
1,20220102051500,MEPMD01,0.588,2141779855
1,20220105160000,MEPMD01,0.4656,2141779855
1,20220131154500,MEPMD01,0.3984,2141779855
1,20220130104500,MEPMD01,0.375,2141779855
1,20220105223000,MEPMD01,0.5766,2141779855
1,20220113163000,MEPMD01,0.5346,2141779855
1,20220123203000,MEPMD01,0.4884,2141779855
1,20220108063000,MEPMD01,0.4746,2141779855
1,20220111150000,MEPMD01,0.4854,2141779855
1,20220121051500,MEPMD01,0.5004,2141779855
1,20220127054500,MEPMD01,0.4404,2141779855
1,20220123221500,MEPMD01,0.633,2141779855
1,20220109204500,MEPMD01,0.6768,2141779855
1,20220106044500,MEPMD01,0.5754,2141779855
1,20220102184500,MEPMD01,0.6108,2141779855
1,20220102073000,MEPMD01,0.4554,2141779855
1,20220114011500,MEPMD01,0.5814,2141779855
1,20220110163000,MEPMD01,0.4356,2141779855
1,20220131160000,MEPMD01,0.4008,2141779855
1,20220128151500,MEPMD01,0.3456,2141779855
1,20220127033000,MEPMD01,0.4554,2141779855
1,20220122211500,MEPMD01,0.5748,2141779855
1,20220105024500,MEPMD01,0.5082,2141779855
1,20220118180000,MEPMD01,0.4296,2141779855
1,20220113204500,MEPMD01,0.6192,2141779855
1,20220127183000,MEPMD01,0.4284,2141779855
1,20220113114500,MEPMD01,0.5322,2141779855
1,20220119180000,MEPMD01,0.6108,2141779855
1,20220102224500,MEPMD01,0.4812,2141779855
1,20220114194500,MEPMD01,0.4746,2141779855
1,20220111164500,MEPMD01,0.4848,2141779855
1,20220111031500,MEPMD01,0.5148,2141779855
1,20220121213000,MEPMD01,0.6294,2141779855
1,20220129160000,MEPMD01,0.402,2141779855
1,20220104033000,MEPMD01,0.516,2141779855
1,20220103181500,MEPMD01,0.4902,2141779855
1,20220114140000,MEPMD01,0.4068,2141779855
1,20220102001500,MEPMD01,0.5328,2141779855
1,20220105181500,MEPMD01,0.4254,2141779855
1,20220120074500,MEPMD01,0.4026,2141779855
1,20220114004500,MEPMD01,0.5358,2141779855
1,20220105031500,MEPMD01,0.4722,2141779855
1,20220109224500,MEPMD01,0.6066,2141779855
1,20220102101500,MEPMD01,0.48,2141779855
1,20220122193000,MEPMD01,0.5232,2141779855
1,20220125213000,MEPMD01,0.5124,2141779855
1,20220121171500,MEPMD01,0.4362,2141779855
1,20220117001500,MEPMD01,0.5022,2141779855
1,20220105131500,MEPMD01,0.6084,2141779855
1,20220111221500,MEPMD01,0.558,2141779855
1,20220109103000,MEPMD01,0.4602,2141779855
1,20220104154500,MEPMD01,0.4716,2141779855
1,20220114024500,MEPMD01,0.5142,2141779855
1,20220114111500,MEPMD01,0.4548,2141779855
1,20220108051500,MEPMD01,0.4926,2141779855
1,20220114000000,MEPMD01,0.5394,2141779855
1,20220107223000,MEPMD01,0.6678,2141779855
1,20220119110000,MEPMD01,0.2922,2141779855
1,20220131110000,MEPMD01,0.3588,2141779855
1,20220106023000,MEPMD01,0.5394,2141779855
1,20220122044500,MEPMD01,0.4734,2141779855
1,20220111103000,MEPMD01,0.5964,2141779855
1,20220126174500,MEPMD01,0.417,2141779855
1,20220120061500,MEPMD01,0.48,2141779855
1,20220125001500,MEPMD01,0.5808,2141779855
1,20220105214500,MEPMD01,0.669,2141779855
1,20220111034500,MEPMD01,0.6,2141779855
1,20220119200000,MEPMD01,0.6054,2141779855
1,20220113193000,MEPMD01,0.7188,2141779855
1,20220110033000,MEPMD01,0.5238,2141779855
1,20220112030000,MEPMD01,0.5394,2141779855
1,20220118044500,MEPMD01,0.4056,2141779855
1,20220128071500,MEPMD01,0.363,2141779855
1,20220114001500,MEPMD01,0.5472,2141779855
1,20220130111500,MEPMD01,0.42,2141779855
1,20220111081500,MEPMD01,0.4176,2141779855
1,20220128001500,MEPMD01,0.4506,2141779855
1,20220111000000,MEPMD01,0.6306,2141779855
1,20220103111500,MEPMD01,0.3822,2141779855
1,20220105221500,MEPMD01,0.6396,2141779855
1,20220122053000,MEPMD01,0.4206,2141779855
1,20220115104500,MEPMD01,0.411,2141779855
1,20220131210000,MEPMD01,0.3816,2141779855
1,20220103201500,MEPMD01,0.7152,2141779855
1,20220118153000,MEPMD01,0.399,2141779855
1,20220123003000,MEPMD01,0.4752,2141779855
1,20220116020000,MEPMD01,0.5064,2141779855
1,20220103081500,MEPMD01,0.3414,2141779855
1,20220112190000,MEPMD01,0.6114,2141779855
1,20220128080000,MEPMD01,0.4062,2141779855
1,20220107013000,MEPMD01,0.5574,2141779855
1,20220109200000,MEPMD01,0.7098,2141779855
1,20220112064500,MEPMD01,0.6018,2141779855
1,20220125183000,MEPMD01,0.4326,2141779855
1,20220106233000,MEPMD01,0.5784,2141779855
1,20220130224500,MEPMD01,0.5262,2141779855
1,20220106031500,MEPMD01,0.5376,2141779855
1,20220101110000,MEPMD01,0.4584,2141779855
1,20220108091500,MEPMD01,0.6066,2141779855
1,20220109170000,MEPMD01,0.4872,2141779855
1,20220122191500,MEPMD01,0.564,2141779855
1,20220105104500,MEPMD01,0.396,2141779855
1,20220117101500,MEPMD01,0.4116,2141779855
1,20220125211500,MEPMD01,0.5208,2141779855
1,20220117194500,MEPMD01,0.5208,2141779855
1,20220124023000,MEPMD01,0.5382,2141779855
1,20220119033000,MEPMD01,0.4356,2141779855
1,20220122004500,MEPMD01,0.5292,2141779855
1,20220129041500,MEPMD01,0.417,2141779855
1,20220131121500,MEPMD01,0.276,2141779855
1,20220128091500,MEPMD01,0.3624,2141779855
1,20220107184500,MEPMD01,0.4674,2141779855
1,20220102230000,MEPMD01,0.4872,2141779855
1,20220117021500,MEPMD01,0.4704,2141779855
1,20220130073000,MEPMD01,0.2934,2141779855
1,20220110121500,MEPMD01,0.5832,2141779855
1,20220108003000,MEPMD01,0.57,2141779855
1,20220124073000,MEPMD01,0.4992,2141779855
1,20220125170000,MEPMD01,0.4632,2141779855
1,20220111234500,MEPMD01,0.5514,2141779855
1,20220102044500,MEPMD01,0.4842,2141779855
1,20220126164500,MEPMD01,0.489,2141779855
1,20220129104500,MEPMD01,0.468,2141779855
1,20220119064500,MEPMD01,0.4056,2141779855
1,20220117180000,MEPMD01,0.3414,2141779855
1,20220119101500,MEPMD01,0.4464,2141779855
1,20220107064500,MEPMD01,0.606,2141779855
1,20220124120000,MEPMD01,0.5214,2141779855
1,20220118171500,MEPMD01,0.4086,2141779855
1,20220110231500,MEPMD01,0.5946,2141779855
1,20220106011500,MEPMD01,0.5502,2141779855
1,20220128083000,MEPMD01,0.3312,2141779855
1,20220127233000,MEPMD01,0.4602,2141779855
1,20220125143000,MEPMD01,0.4146,2141779855
1,20220124020000,MEPMD01,0.5358,2141779855
1,20220128011500,MEPMD01,0.423,2141779855
1,20220101044500,MEPMD01,0.5016,2141779855
1,20220122054500,MEPMD01,0.4626,2141779855
1,20220121093000,MEPMD01,0.4062,2141779855
1,20220126060000,MEPMD01,0.4566,2141779855
1,20220127160000,MEPMD01,0.435,2141779855
1,20220131163000,MEPMD01,0.3588,2141779855
1,20220113214500,MEPMD01,0.7248,2141779855
1,20220106094500,MEPMD01,0.417,2141779855
1,20220118164500,MEPMD01,0.4128,2141779855
1,20220104070000,MEPMD01,0.4104,2141779855
1,20220122101500,MEPMD01,0.2916,2141779855
1,20220105014500,MEPMD01,0.501,2141779855
1,20220114061500,MEPMD01,0.5682,2141779855
1,20220115200000,MEPMD01,0.6798,2141779855
1,20220123210000,MEPMD01,0.5388,2141779855
1,20220125014500,MEPMD01,0.4956,2141779855
1,20220109221500,MEPMD01,0.594,2141779855
1,20220103060000,MEPMD01,0.4476,2141779855
1,20220131013000,MEPMD01,0.3738,2141779855
1,20220103094500,MEPMD01,0.3006,2141779855
1,20220104164500,MEPMD01,0.4308,2141779855
1,20220102053000,MEPMD01,0.4782,2141779855
1,20220124094500,MEPMD01,0.3972,2141779855
1,20220121153000,MEPMD01,0.414,2141779855
1,20220125214500,MEPMD01,0.54,2141779855
1,20220122200000,MEPMD01,0.5154,2141779855
1,20220122150000,MEPMD01,0.5196,2141779855
1,20220108104500,MEPMD01,0.5808,2141779855
1,20220116163000,MEPMD01,0.399,2141779855
1,20220126173000,MEPMD01,0.4356,2141779855
1,20220104173000,MEPMD01,0.4902,2141779855
1,20220131193000,MEPMD01,0.4032,2141779855
1,20220108131500,MEPMD01,0.3918,2141779855
1,20220131064500,MEPMD01,0.4026,2141779855
1,20220128171500,MEPMD01,0.3222,2141779855
1,20220121040000,MEPMD01,0.4494,2141779855
1,20220109084500,MEPMD01,0.4764,2141779855
1,20220101153000,MEPMD01,0.5208,2141779855
1,20220104233000,MEPMD01,0.585,2141779855
1,20220118041500,MEPMD01,0.414,2141779855
1,20220114210000,MEPMD01,0.5118,2141779855
1,20220113030000,MEPMD01,0.5412,2141779855
1,20220107201500,MEPMD01,0.5856,2141779855
1,20220110000000,MEPMD01,0.6258,2141779855
1,20220114050000,MEPMD01,0.498,2141779855
1,20220103033000,MEPMD01,0.4584,2141779855
1,20220104223000,MEPMD01,0.6738,2141779855
1,20220101024500,MEPMD01,0.5622,2141779855
1,20220128063000,MEPMD01,0.4122,2141779855
1,20220129103000,MEPMD01,0.3948,2141779855
1,20220111184500,MEPMD01,0.5508,2141779855
1,20220115010000,MEPMD01,0.4032,2141779855
1,20220114003000,MEPMD01,0.5682,2141779855
1,20220128174500,MEPMD01,0.4482,2141779855
1,20220127020000,MEPMD01,0.504,2141779855
1,20220126044500,MEPMD01,0.5046,2141779855
1,20220119044500,MEPMD01,0.5928,2141779855
1,20220115221500,MEPMD01,0.555,2141779855
1,20220103204500,MEPMD01,0.5832,2141779855
1,20220119070000,MEPMD01,0.3588,2141779855
1,20220115041500,MEPMD01,0.3954,2141779855
1,20220127191500,MEPMD01,0.6168,2141779855
1,20220109191500,MEPMD01,0.5508,2141779855
1,20220103174500,MEPMD01,0.4224,2141779855
1,20220118011500,MEPMD01,0.4068,2141779855
1,20220120063000,MEPMD01,0.3936,2141779855
1,20220120073000,MEPMD01,0.45,2141779855
1,20220129151500,MEPMD01,0.4272,2141779855
1,20220127024500,MEPMD01,0.4632,2141779855
1,20220105110000,MEPMD01,0.4968,2141779855
1,20220113003000,MEPMD01,0.615,2141779855
1,20220109161500,MEPMD01,0.4314,2141779855
1,20220119151500,MEPMD01,0.3762,2141779855
1,20220111051500,MEPMD01,0.6426,2141779855
1,20220112023000,MEPMD01,0.5328,2141779855
1,20220114174500,MEPMD01,0.5514,2141779855
1,20220122174500,MEPMD01,0.4518,2141779855
1,20220108000000,MEPMD01,0.5406,2141779855
1,20220129073000,MEPMD01,0.345,2141779855
1,20220124003000,MEPMD01,0.5142,2141779855
1,20220110104500,MEPMD01,0.4236,2141779855
1,20220105070000,MEPMD01,0.4452,2141779855
1,20220129134500,MEPMD01,0.3426,2141779855
1,20220119154500,MEPMD01,0.3324,2141779855
1,20220115173000,MEPMD01,0.4116,2141779855
1,20220124111500,MEPMD01,0.417,2141779855
1,20220115021500,MEPMD01,0.4632,2141779855
1,20220126004500,MEPMD01,0.5424,2141779855
1,20220115150000,MEPMD01,0.4062,2141779855
1,20220130031500,MEPMD01,0.3768,2141779855
1,20220110120000,MEPMD01,0.6168,2141779855
1,20220110140000,MEPMD01,0.474,2141779855
1,20220106010000,MEPMD01,0.543,2141779855
1,20220108124500,MEPMD01,0.4104,2141779855
1,20220131181500,MEPMD01,0.3816,2141779855
1,20220125103000,MEPMD01,0.5214,2141779855
1,20220107214500,MEPMD01,0.6378,2141779855
1,20220127114500,MEPMD01,0.3894,2141779855
1,20220115120000,MEPMD01,0.4128,2141779855
1,20220116164500,MEPMD01,0.3288,2141779855
1,20220112003000,MEPMD01,0.5484,2141779855
1,20220111070000,MEPMD01,0.5046,2141779855
1,20220118173000,MEPMD01,0.3276,2141779855
1,20220107180000,MEPMD01,0.6306,2141779855
1,20220111064500,MEPMD01,0.5184,2141779855
1,20220119173000,MEPMD01,0.3342,2141779855
1,20220118070000,MEPMD01,0.3432,2141779855
1,20220124113000,MEPMD01,0.3192,2141779855
1,20220101080000,MEPMD01,0.4608,2141779855
1,20220120154500,MEPMD01,0.4608,2141779855
1,20220109134500,MEPMD01,0.414,2141779855
1,20220126204500,MEPMD01,0.567,2141779855
1,20220105091500,MEPMD01,0.5052,2141779855
1,20220127023000,MEPMD01,0.4764,2141779855
1,20220110201500,MEPMD01,0.5322,2141779855
1,20220108143000,MEPMD01,0.4986,2141779855
1,20220109160000,MEPMD01,0.4446,2141779855
1,20220111074500,MEPMD01,0.564,2141779855
1,20220104151500,MEPMD01,0.5394,2141779855
1,20220103053000,MEPMD01,0.4938,2141779855
1,20220112141500,MEPMD01,0.4794,2141779855
1,20220112154500,MEPMD01,0.4902,2141779855
1,20220121143000,MEPMD01,0.4998,2141779855
1,20220123181500,MEPMD01,0.5988,2141779855
1,20220101071500,MEPMD01,0.4416,2141779855
1,20220105120000,MEPMD01,0.5274,2141779855
1,20220125064500,MEPMD01,0.4152,2141779855
1,20220125163000,MEPMD01,0.3612,2141779855
1,20220104031500,MEPMD01,0.4884,2141779855
1,20220103113000,MEPMD01,0.5952,2141779855
1,20220116213000,MEPMD01,0.516,2141779855
1,20220108154500,MEPMD01,0.4416,2141779855
1,20220124061500,MEPMD01,0.5304,2141779855
1,20220108084500,MEPMD01,0.5136,2141779855
1,20220101053000,MEPMD01,0.6168,2141779855
1,20220115081500,MEPMD01,0.4434,2141779855
1,20220117173000,MEPMD01,0.408,2141779855
1,20220102171500,MEPMD01,0.4254,2141779855
1,20220103234500,MEPMD01,0.525,2141779855
1,20220119201500,MEPMD01,0.6162,2141779855
1,20220108060000,MEPMD01,0.51,2141779855
1,20220131083000,MEPMD01,0.3654,2141779855
1,20220110154500,MEPMD01,0.4272,2141779855
1,20220114144500,MEPMD01,0.4056,2141779855
1,20220112013000,MEPMD01,0.7212,2141779855
1,20220123151500,MEPMD01,0.3816,2141779855
1,20220122030000,MEPMD01,0.5322,2141779855
1,20220108174500,MEPMD01,0.471,2141779855
1,20220109151500,MEPMD01,0.3492,2141779855
1,20220103163000,MEPMD01,0.4104,2141779855
1,20220104080000,MEPMD01,0.3414,2141779855
1,20220125093000,MEPMD01,0.366,2141779855
1,20220106193000,MEPMD01,0.7158,2141779855
1,20220115020000,MEPMD01,0.4698,2141779855
1,20220106034500,MEPMD01,0.555,2141779855
1,20220106000000,MEPMD01,0.5664,2141779855
1,20220111134500,MEPMD01,0.5442,2141779855
1,20220128230000,MEPMD01,0.4686,2141779855
1,20220107111500,MEPMD01,0.4818,2141779855
1,20220115223000,MEPMD01,0.546,2141779855
1,20220129193000,MEPMD01,0.4716,2141779855
1,20220130000000,MEPMD01,0.4176,2141779855
1,20220125140000,MEPMD01,0.3912,2141779855
1,20220110223000,MEPMD01,0.6174,2141779855
1,20220114110000,MEPMD01,0.378,2141779855
1,20220123064500,MEPMD01,0.3834,2141779855
1,20220130024500,MEPMD01,0.3948,2141779855
1,20220126043000,MEPMD01,0.4194,2141779855
1,20220114091500,MEPMD01,0.3564,2141779855
1,20220110103000,MEPMD01,0.4164,2141779855
1,20220130093000,MEPMD01,0.3102,2141779855
1,20220113160000,MEPMD01,0.4992,2141779855
1,20220112050000,MEPMD01,0.57,2141779855
1,20220125050000,MEPMD01,0.4674,2141779855
1,20220121231500,MEPMD01,0.5526,2141779855
1,20220124140000,MEPMD01,0.4458,2141779855
1,20220126014500,MEPMD01,0.4992,2141779855
1,20220124063000,MEPMD01,0.6186,2141779855
1,20220117171500,MEPMD01,0.345,2141779855
1,20220124190000,MEPMD01,0.4752,2141779855
1,20220116223000,MEPMD01,0.5112,2141779855
1,20220115184500,MEPMD01,0.5202,2141779855
1,20220120033000,MEPMD01,0.459,2141779855
1,20220108183000,MEPMD01,0.573,2141779855
1,20220131033000,MEPMD01,0.3408,2141779855
1,20220101054500,MEPMD01,0.5004,2141779855
1,20220116221500,MEPMD01,0.5124,2141779855
1,20220112021500,MEPMD01,0.5664,2141779855
1,20220107161500,MEPMD01,0.4212,2141779855
1,20220111163000,MEPMD01,0.4278,2141779855
1,20220129123000,MEPMD01,0.3684,2141779855
1,20220118213000,MEPMD01,0.5178,2141779855
1,20220113191500,MEPMD01,0.576,2141779855
1,20220101041500,MEPMD01,0.5046,2141779855
1,20220106003000,MEPMD01,0.5466,2141779855
1,20220111060000,MEPMD01,0.519,2141779855
1,20220120043000,MEPMD01,0.4182,2141779855
1,20220104214500,MEPMD01,0.6084,2141779855
1,20220129224500,MEPMD01,0.4806,2141779855
1,20220123173000,MEPMD01,0.4098,2141779855
1,20220122160000,MEPMD01,0.4212,2141779855
1,20220104163000,MEPMD01,0.501,2141779855
1,20220127144500,MEPMD01,0.1848,2141779855
1,20220131203000,MEPMD01,0.4152,2141779855
1,20220129033000,MEPMD01,0.363,2141779855
1,20220122033000,MEPMD01,0.483,2141779855
1,20220104210000,MEPMD01,0.5748,2141779855
1,20220119231500,MEPMD01,0.462,2141779855
1,20220112170000,MEPMD01,0.4704,2141779855
1,20220103084500,MEPMD01,0.3222,2141779855
1,20220130013000,MEPMD01,0.4068,2141779855
1,20220127204500,MEPMD01,0.4902,2141779855
1,20220118014500,MEPMD01,0.4086,2141779855
1,20220121061500,MEPMD01,0.4686,2141779855
1,20220130221500,MEPMD01,0.4182,2141779855
1,20220120064500,MEPMD01,0.498,2141779855
1,20220104081500,MEPMD01,0.5046,2141779855
1,20220127011500,MEPMD01,0.4938,2141779855
1,20220119211500,MEPMD01,0.5364,2141779855
1,20220103044500,MEPMD01,0.468,2141779855
1,20220128234500,MEPMD01,0.465,2141779855
1,20220101133000,MEPMD01,0.4614,2141779855
1,20220122001500,MEPMD01,0.516,2141779855
1,20220109071500,MEPMD01,0.5664,2141779855
1,20220124010000,MEPMD01,0.5802,2141779855
1,20220108123000,MEPMD01,0.3888,2141779855
1,20220105111500,MEPMD01,0.561,2141779855
1,20220102181500,MEPMD01,0.6684,2141779855
1,20220123131500,MEPMD01,0.3792,2141779855
1,20220118091500,MEPMD01,0.3408,2141779855
1,20220122130000,MEPMD01,0.321,2141779855
1,20220127134500,MEPMD01,0.3906,2141779855
1,20220129050000,MEPMD01,0.4098,2141779855
1,20220117200000,MEPMD01,0.5034,2141779855
1,20220129210000,MEPMD01,0.4548,2141779855
1,20220116111500,MEPMD01,0.5664,2141779855
